"indexVal","method","clusterDim","clusterMeth"
0.288372039807879,"Jaccard","cumRet_sigma_skew_maxDD/kurt","kMean_kMean"
0.797081888188819,"Rand","cumRet_sigma_skew_maxDD/kurt","hc_hc"
0.296384947558724,"HA","cumRet_sigma_skew_maxDD/kurt","hc_hc"
0.296717210740146,"MA","cumRet_sigma_skew_maxDD/kurt","hc_hc"
0.419527401363341,"FM","cumRet_sigma_skew_maxDD/kurt","hc_hc"
0.264816142999253,"Jaccard","cumRet_sigma_skew_maxDD/kurt","hc_hc"
0.866431303130313,"Rand","cumRet_sigma_skew_maxDD/kurt","db_db"
0.233695430110331,"HA","cumRet_sigma_skew_maxDD/kurt","db_db"
0.233702440016717,"MA","cumRet_sigma_skew_maxDD/kurt","db_db"
0.926804290268386,"FM","cumRet_sigma_skew_maxDD/kurt","db_db"
0.862535672136427,"Jaccard","cumRet_sigma_skew_maxDD/kurt","db_db"
